;;;;;;;;;;;;;;;;;22.874.636,98;;;
Sì/No (R);Chiave (S);Project ID (T);Comune (U);Comune (V);BU (W);Type of service (X);Type of Contract (Y);Dettaglio commessa (Z);Activity Code (AA);04 - Materiali (AB);02 - Servizi (AC);03 - Manodopera (AD);01 - Oneri (AE);Totale (AF);% ATI (AG);Capitalizzazioni (AH);Capitalizzazione + Costi indiretti (AI);Società (AJ);Stato;Nota
;;PPP-IPU-I926-01;Comune di Spotorno ;Spotorno;North West;Public Streetlighting;PPP; SPOTORNO ILLUMINAZIONE PUBBLICA;Construction(OLD);;;;;;;;160.866,97;Ottima;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-EEE-B506-02;COMUNE DI CAMPI SALENTINA ;CAMPI SALENTINA;South;Smart Buildings;Smart Buildings; EFFICIENTAMENTO ENERGETICO EDIFICI LOTTO 2 E.L.EN.A.;Construction(OLD);;;;;;;;236.327,08;Selettra;;Comune: storico CapEx · BU: storico · classificazione: storico CapEx
;;PPP-EEE-B506-03;COMUNE DI CAMPI SALENTINA ;CAMPI SALENTINA;South;Smart Buildings;Smart Buildings; EFFICIENTAMENTO ENERGETICO EDIFICI LOTTO 3 E.L.EN.A.;Construction(OLD);;;;;;;;191.810,35;Selettra;;Comune: storico CapEx · BU: storico · classificazione: storico CapEx
;;PPP-IPU-F165-01;COMUNE DI MEZZAGO ;Mezzago;North West;Public Streetlighting;PPP; Mezzago ILLUMINAZIONE PUBBLICA;Construction(OLD);;;;;;;;13.597,91;Ottima;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-I965-01;Comune di Strà ;Stra;North East;Public Streetlighting;PPP; IMPIANTI COMUNE DI STRA';Construction(OLD);;;;;;;;59.391,84;CMV I;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-C824-01;COMUNE DI COGOLLO DEL CENGIO ;Cogollo Del Cengio;North East;Public Streetlighting;PPP; COGOLLO DEL CENGIO ILLUMINAZIONE PUBBLICA;Construction(OLD);;;;;;;;770,5;Civismart;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-I805-01;Comune di Solofra ;Solofra;South;Public Streetlighting;PPP; IMPIANTI COMUNE DI SOLOFRA;Construction(OLD);;;;;;;;87.164;Solofra;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-EEE-B506-01;COMUNE DI CAMPI SALENTINA ;Campi Salentina;South;Smart Buildings;Smart Buildings; EFFICIENTAMENTO ENERGETICO EDIFICI LOTTO 1 E.L.EN.A.;Construction(OLD);;;;;;;;266.451,34;Selettra;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-H793-01;COMUNE DI SAN CESARIO DI LECCE ;San Cesario Di Lecce;South;Public Streetlighting;PPP; SAN CESARIO DI LECCE ILLUMINAZIONE PUBBLICA;Construction(OLD);;;;;;;;40.515,40;Selettra;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-F874-01;Comune di Nerviano ;Nerviano;North West;Public Streetlighting;PPP; IMPIANTI COMUNE DI NERVIANO;Construction(OLD);;;;;;;;258.556,48;Nerviano;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-L294-01;COMUNE DI TORRICELLA ;Torricella;South;Public Streetlighting;PPP; TORRICELLA ILLUMINAZIONE PUBBLICA;Pipeline;;;;;;;;16.944,93;Civismart;;Comune: nuovo (regola Title Case) · BU: storico (nome combacia) · classificazione: storico CapEx
;;PPP-IPU-G712-01;Comune di Pisticci ;Pisticci;South;Public Streetlighting;PPP; PISTICCI ILLUMINAZIONE PUBBLICA;Pipeline;;;;;;;;649,014;Civismart;;Comune: anagrafica CVS BU (per codice commessa) · BU: anagrafica CVS BU · classificazione: anagrafica CVS BU
;;PPP-IPU-B516-01;COMUNE DI CAMPO CALABRO ;Campo Calabro;South;Public Streetlighting;PPP; CAMPO CALABRO ILLUMINAZIONE PUBBLICA;Pipeline;;;;;;;;1119,9045;Civismart;;Comune: nuovo (regola Title Case) · BU: storico (nome combacia) · classificazione: storico CapEx
;;PPP-EEE-H882-02;COMUNE DI SAN GIORGIO IONICO ;San Giorgio Ionico;South;Public Streetlighting;PPP; SAN GIORGIO IONICO EFFICIENTAMENTO EDIFICI;Pipeline;;;;;;;;522,56;Civismart;;Comune: storico CapEx · BU: storico · classificazione: storico CapEx
;;AQ1-IPU-F957-01;COMUNE DI NOVE (VI) ;Nove (vi);North East;Public Streetlighting;C-AQ1; NOVE ILLUMINAZIONE PUBBLICA;Pipeline;;;;;;;;10.825,87;Civismart;;Comune: nuovo (regola Title Case) · BU: storico (nome combacia) · classificazione: storico CapEx
;;PPP-BUS-C638-01;COMUNE DI CHIOGGIA ;Chioggia;North East;Public Fleet Electrification;Public Fleet Electrification; CHIOGGIA TRASPORTO PUBBLICO LOCALE;Pipeline;;;;;;;;2875;Civismart;;Comune: nuovo (regola Title Case) · BU: storico (nome combacia) · classificazione: storico CapEx
;;PPP-IPU-G630-01;COMUNE DI PIETRAVAIRANO ;PIETRAVAIRANO;South;Public Streetlighting;PPP; PIETRAVAIRANO ILLUMINAZIONE PUBBLICA;Pipeline;;;;;;;;275,816;Civismart;;Comune: storico CapEx · BU: storico · classificazione: storico CapEx
;;PPP-IPU-C616-01;COMUNE DI CHIARAVALLE CENTRALE ;Chiaravalle Centrale;South;Public Streetlighting;PPP; CHIARAVALLE CENTRALE ILLUMINAZIONE PUBBLICA;Pipeline;;;;;;;;1094,639;Civismart;;Comune: nuovo (regola Title Case) · BU: storico (nome combacia) · classificazione: storico CapEx
;;PPP-IPU-L658-01;COMUNE DI VALVERDE ;Valverde;South;Public Streetlighting;PPP; VALVERDE ILLUMINAZIONE PUBBLICA;Pipeline;;;;;;;;81,65;Civismart;;Comune: storico CapEx · BU: storico · classificazione: storico CapEx
;;PPP-IPU-E227-01;COMUNE DI GUAGNANO ;Guagnano;South;Public Streetlighting;PPP; GUAGNANO ILLUMINAZIONE PUBBLICA;Pipeline;;;;;;;;2038,2255;Civismart;;Comune: storico CapEx · BU: storico · classificazione: storico CapEx
;;PPP-IPU-H971-01;COMUNE DI SAN LUCIDO ;San Lucido;South;Public Streetlighting;PPP; SAN LUCIDO ILLUMINAZIONE PUBBLICA;Pipeline;;;;;;;;864,984;Civismart;;Comune: nuovo (regola Title Case) · BU: storico (nome combacia) · classificazione: storico CapEx
