;;;;;;;;;0;0;;;;0;
Società (B);Quadro (C);Altro (D);Ricla MG esteso (E);Codice Conto (F);Conto COGE (G);Cluster II (H);Conto COGE I livello (I);Conto COGE II livello (J);Valore mese € — CVS;Valore mese € — De Giorgi;Stato;Nota;;TOTALE;
CVS;SP;;Other Credit;100621;Depositi Cauzioniari Commerciali;;Immobilizzazioni Finanziarie;BlII.2d-bis - verso altri;135.934,92;0;;Bilancio di Verifica;;135.934,92;100621
CVS;SP;;Other Reserves;100622;Soci c/sottoscrizione;;N/A_Conti Infrannuali;N/A_conti infrannuali;108.000;0;;Bilancio di Verifica;;108.000,00;100622
CVS;SP;;Financial Assets;100623;Crediti Vs. SPV Città Metropolitana Venezia II;Acquisto Crediti Genera;TBD;TBD;2.888.550,21;0;;Bilancio di Verifica;;2.888.550,21;100623
CVS;SP;;Financial Assets;100625;Crediti Vs. SPV Crosia Smart City;Acquisto Crediti Genera;TBD;TBD;894.050,18;0;;Bilancio di Verifica;;894.050,18;100625
CVS;SP;;Financial Assets;100627;Crediti Vs. SPV Spezzano Albanese Smart City;Acquisto Crediti Genera;TBD;TBD;978.336,66;0;;Bilancio di Verifica;;978.336,66;100627
CVS;SP;;Other Credit;100629;Crediti Vs. SPV Pulsano;;TBD;TBD;0;0;;assente nel grezzo → 0 (nessuna attività);;0;100629
CVS;SP;;Other Credit;100631;Crediti Vs. SPV Presicce Acquarica Smart City Srl;;TBD;TBD;0;0;;assente nel grezzo → 0 (nessuna attività);;0;100631
CVS;SP;;Financial Assets;100635;Credito Acquisizione Alfano_Partecipazione TECS;Acquisto Tecs (Alfano opportunity);TBD;TBD;7.918.688;0;;Bilancio di Verifica;;7.918.688,00;100635
CVS;SP;;Other Credit;100637;Credito v/controllante;;TBD;TBD;44,98;0;;Bilancio di Verifica;;44,98;100637
CVS;SP;;Inventory;120209;Materie Prime, Sussidiarie E Consumo Finali;;Rimanenze;CI.1 - materie prime, sussidiarie e di consumo;5.244.545,07;0;;Bilancio di Verifica;;5.244.545,07;120209
CVS;SP;;Trade Receivables;140201;Crediti Vs Clienti Nazionali;;Crediti Verso Clienti;CII.1 - verso clienti;13.611.788,14;167.319,49;;Bilancio di Verifica;;13.779.107,63;140201
CVS;SP;;Trade Receivables;140205;Fondo Svalutazione Crediti;;Crediti Verso Clienti;CII.1 - verso clienti;-590.461,28;0;;Bilancio di Verifica;;-590.461,28;140205
CVS;SP;;Trade Receivables;140219;Credito v/GSE (conto termico);;Crediti Verso Clienti;ClI.5-quater - verso altri;146,4;0;;Bilancio di Verifica;;146,4;140219
CVS;SP;;Trade Receivables;140221;Credito v/Regione Basilicata;;Crediti Verso Clienti;ClI.5-quater - verso altri;113.167,29;0;;Bilancio di Verifica;;113.167,29;140221
CVS;SP;;Tax Credit;140223;Crediti v/imprese controllanti per consolidato fiscale;;Crediti Verso Clienti;ClI.5-quater - verso altri;116.452,71;0;;Bilancio di Verifica;;116.452,71;140223
CVS;SP;;Trade Receivables;140225;Crediti Vs Clienti Esteri;;Crediti Verso Clienti;CII.1 - verso clienti;1525;0;;Bilancio di Verifica;;1.525,00;140225
CVS;SP;;Other Credit;140227;Crediti Intercompany;;N/A_Conti Infrannuali;N/A_conti infrannuali;563.849,75;0;;Bilancio di Verifica;;563.849,75;140227
CVS;SP;;Trade Receivables;140229;Crediti Vs Chioggia Servizi;;TBD;TBD;1.700.391,73;0;;Bilancio di Verifica;;1.700.391,73;140229
CVS;SP;;Financial Assets;160201;Altri Titoli;Partecipazioni altre imprese;Attività Finanziarie Che Non Costituiscono Imm.;CIII.6 - Altri titoli;461.829,21;0;;Bilancio di Verifica;;461.829,21;160201
CVS;CE;R;Other Revenues;160203;Spese Anticipate;;N/A_Conti Infrannuali;N/A_conti infrannuali;-756,79;0;;Bilancio di Verifica;;-756,79;160203
CVS;SP;;Other Credit;160205;Anticipo Bolla Doganale;;Attività Finanziarie Che Non Costituiscono Imm.;CIII.6 - Altri titoli;-28.579,75;0;;Bilancio di Verifica;;-28.579,75;160205
CVS;SP;;Trade Receivables;160207;Fatture Da Emettere;;Attività Finanziarie Che Non Costituiscono Imm.;CII.1 - verso clienti;17.628.920,23;33.623,11;;Bilancio di Verifica;;17.662.543,34;160207
CVS;SP;;Other Credit;160208;Crediti verso Altri;;Attività Finanziarie Che Non Costituiscono Imm.;ClI.5-quater - verso altri;353.316,06;0;;Bilancio di Verifica;;353.316,06;160208
CVS;SP;;Trade Payables;160210;Note di Credito Da Ricevere;;Debiti Vs Fornitori;D.7 - debiti verso fornitori;147.938,91;0;;Bilancio di Verifica;;147.938,91;160210
CVS;SP;;Trade Payables;160212;Fornitori C/Acconti;;Attività Finanziarie Che Non Costituiscono Imm.;ClI.5-quater - verso altri;166.102,55;0;;Bilancio di Verifica;;166.102,55;160212
CVS;SP;;Other Credit;160214;Dipendenti c/ant. su retribuzioni;;N/A_Conti Infrannuali;N/A_conti infrannuali;0;0;;assente nel grezzo → 0 (nessuna attività);;0;160214
CVS;SP;;Other Credit;160216;Crediti per ritenuta a garanzia;;TBD;TBD;641.999,50;0;;Bilancio di Verifica;;641.999,50;160216
CVS;SP;;Other Credit;160218;Crediti/Debiti v/Atlantico Spa;;TBD;TBD;3335;0;;Bilancio di Verifica;;3.335,00;160218
CVS;SP;;Other Credit;160220;Crediti V/Socio Sofein Da Richiamare;;TBD;TBD;5062,5;0;;Bilancio di Verifica;;5.062,50;160220
CVS;SP;;Other Credit;160222;Credito V/Sofein Accordo Transattivo;;TBD;TBD;137.585,87;0;;Bilancio di Verifica;;137.585,87;160222
CVS;SP;;Trade Receivables;160224;Credito V/Estra Clima;;TBD;TBD;16,75;0;;Bilancio di Verifica;;16,75;160224
CVS;SP;;Tax Credit;160401;Erario C/Iva Compensazione;;Crediti Tributari;CII.5-bis - crediti tributari;1.012.821,40;131.602,09;;Bilancio di Verifica;;1.144.423,49;160401
CVS;SP;;Tax Credit;160403;Erario C/Iva Rimborso;;Crediti Tributari;CII.5-bis - crediti tributari;2.942.929,78;0;;Bilancio di Verifica;;2.942.929,78;160403
CVS;SP;;Tax Credit;160405;Erario C/Rit. Subite;;Crediti Tributari;CII.5-bis - crediti tributari;909,42;0;;Bilancio di Verifica;;909,42;160405
CVS;SP;;Tax Credit;160407;Crediti Per Imposte Anticipate;;Crediti Tributari;CII.5-ter - imposte anticipate;673.332,24;0;;Bilancio di Verifica;;673.332,24;160407
